,en,ig
0,when one enters,a ba a
1,when one comes,a bia
2,name of a State in Igbo land,a bia
3,When one finds/looks for,a cho
4,I don't want it,a chorom ya
5,I need your help,a chorum ki nyerem aka
6,I want a drink,a chorum mmanya
7,When is crumbled,A fi
8,When one sees,A fu
9,love you,a fum gi nanya
10,when one refuses,a ju
11,I have been injured,a meruolam ahu
12,When birth is given,a muo
13,When one learns,a muo
14,I can't speak Igbo well,a nam a su Igbo ofuma
15,I don't eat beef,a nam eri anu efi
16,I don't eat pork,a nam eri anu ezi
17,befriending,a vi
18,when one pours,a wii
19,not to enter into,Aba
20,also name of a town in Abia State,Aba
21,night,abali
22,good night,abali oma
23,song,abu
24,fresh vegetables,abubo ndu
25,2,abuo
26,two,abuo
27,insert cricket,abuzu
28,insert cricket,mbuzu
29,insert cricket,mbuzo
30,insert cricket,mgbaja
31,insert cricket,insert cricket
32,a seed for soup-making,Achi
33,name of a town,Achi
34,bread,achicha
35,pursuing,Achu
36,first daughter,ada
37,eldest daughter,ada
38,chief woman of family,ada
39,loosely used for all daughters,ada
40,princess,ada eze
41,daughter of the family,ada Ije
42,female name,ada Ije
43,also female name,ada mma
44,paternal aunt,ada nne nna
45,daughter of all,ada ora
46,female name,ada ora
47,same as ada,nwa ada
48,female name,nwa ada
49,even though they are usually married outside it,ụmụ ada
50,not being,adi
51,protecting,ado
52,seed yam,adu
53,name,afa
54,oracle,afa
55,divination,afa
56,shells of native mango fruit strung together and used by medicine men in divination,afa
57,diviner's bag,akpa afa
58,including human and animal teeth,gba afa
59,cowries,gba afa
60,seeds,gba afa
61,coins,gba afa
62,pieces of bone,gba afa
63,then directs his gaze to his client,gba afa
64,to whom he tells the revelation of the divination. Before concluding this report he can throw the objects once,gba afa
65,including human and animal teeth,human and animal teeth
66,including human and animal teeth,cowries
67,including human and animal teeth,seeds
68,including human and animal teeth,coins
69,including human and animal teeth,pieces of bone
70,including human and animal teeth,seeds of certain plants
71,cowries,human and animal teeth
72,cowries,cowries
73,cowries,seeds
74,cowries,coins
75,cowries,pieces of bone
76,cowries,seeds of certain plants
77,seeds,human and animal teeth
78,seeds,cowries
79,seeds,seeds
80,seeds,coins
81,seeds,pieces of bone
82,seeds,seeds of certain plants
83,coins,human and animal teeth
84,coins,cowries
85,coins,seeds
86,coins,coins
87,coins,pieces of bone
88,coins,seeds of certain plants
89,pieces of bone,human and animal teeth
90,pieces of bone,cowries
91,pieces of bone,seeds
92,pieces of bone,coins
93,pieces of bone,pieces of bone
94,pieces of bone,seeds of certain plants
95,then directs his gaze to his client,human and animal teeth
96,then directs his gaze to his client,cowries
97,then directs his gaze to his client,seeds
98,then directs his gaze to his client,coins
99,then directs his gaze to his client,pieces of bone
100,then directs his gaze to his client,seeds of certain plants
101,to whom he tells the revelation of the divination. Before concluding this report he can throw the objects once,human and animal teeth
102,to whom he tells the revelation of the divination. Before concluding this report he can throw the objects once,cowries
103,to whom he tells the revelation of the divination. Before concluding this report he can throw the objects once,seeds
104,to whom he tells the revelation of the divination. Before concluding this report he can throw the objects once,coins
105,to whom he tells the revelation of the divination. Before concluding this report he can throw the objects once,pieces of bone
106,to whom he tells the revelation of the divination. Before concluding this report he can throw the objects once,seeds of certain plants
107,your Igbo name,afa Igbo i
108,your personal name,afa ị
109,your father's name,afa nna ị
110,surname,afa nna ị
111,name by which someone is called on solemn occasions,afa otutu
112,praise-name,afa otutu
113,your English name,afa Oyibo i
114,your English name,onye ocha
115,your English name,oyibo ndi ocha
116,give name,ba afa
117,mention,fo afa
118,mention name,fo afa
119,make mention,fota afa
120,mention,fota afa
121,give a name to,gụ afa
122,name,gụ afa
123,call by name,kpọ afa
124,name,kpọ afa
125,be well-known,malụ afa
126,important,malụ afa
127,He is well-known,A malụ afa ya
128,No one has heard of him,A malọ afa ya
129,he is unknown,A malọ afa ya
130,extol,tu afa
131,salute by title,tu afa
132,nickname,tu afa
133,bear a name,za afa
134,answer to one's name,za afa
135,name,afa
136,title fiven to chiefs,afaa
137,dress,afe
138,cloths,afe
139,sewn garment,afe
140,mask,afe
141,mask of the masquerader's cloth,afe mmọọ
142,mask of the masquerader's cloth,afe mmuo
143,mask of the masquerader's cloth,afe mmuọ
144,moustache,afe ọnụ
145,beard,afe ọnụ
146,cloth,afe ụka
147,garment,afe ụka
148,robe set aside and devoted to wearing to church services,afe ụka
149,Sunday clothes,afe ụka
150,night gown,afe ụla
151,garment sleeve,aka afe
152,policeman,onye afe oji
153,put off cloths,wopụ afe
154,wear cloth,yi afe
155,put on clothes,yili afe
156,Put on your clothes and let us go to Church,Yili afe gị ka anyị je Ụka
157,plate,afele
158,flat dish,afele
159,flat plate,afele nsansa
160,breakable dish,afele ụwịwa
161,hollow plate,afele ụkịlị
162,clean the plate,gbacha afele
163,market,afịa
164,trade,afịa
165,His trade declined because he could not build up his capital,Afịa ya dachighalụ azụ
166,His trade declined because he could not build up his capital,maka na o nwerọ ike ịzụ ego e nyelụ ya
167,merchandise,afịa olile
168,commodity,afịa olile
169,commission to buy in the market,atụmafịa
170,order,atụmafịa
171,trade,gba afịa
172,suffer loss in trade,gbọ afịa
173,small edible articles bought women for their children,ife afịa
174,market week of four days,izu afịa
175,expose,kpụ afịa
176,display wares for sale,kpụ afịa
177,pack and move wares away,kwalụ afịa
178,sell wares at an auction,le afịa ọkshọm
179,merchant,onye afịa
180,customer,onye afịa
181,trader,onye afịa
182,centre of market,ọma afịa
183,price,ọnụ afịa
184,market price,ọnụ afịa
185,cost,ọnụ afịa
186,request someone going to market to help buy something,tu afịa
187,commission someone to buy something,tu afịa
188,market stall,ụnọ afịa
189,trade,zụ afịa
190,hold market,zụ afịa
191,buy and sell in market,zụ afịa
192,grass,afịfịa
193,sweepings,afịfịa
194,parings,afịfịa
195,herb,afịfịa
196,He is speaking to low-grade people,Ọ na agwa ụmụ afịfịa okwu
197,herb,afịfịa ọgwụ
198,clear weeds,gbu afịfịa
199,collects herbs,kpa afịfịa
200,belly/ stomach,afo
201,bowels,afo
202,abdomen,afo
203,year - Orlu dialect,afo
204,pregnancy,afọ ime
