en,ig
Browse the web,Chọgharịa na wéèbụ̀
Disable JavaScript chrome control,Nlekọta króòmù ndesịta asụsụ program akwụsịrị ọrụ
Disable JavaScript's control over window chrome.,Nlekọta ndesịta asụsụ program akwụsịrị ọrụ na windo króòmù.
Hide menubar by default,Zòó menubáà site na difọ́ọ̀ltụ̀
Hide the menubar by default.,Zòó menubáà site na difọ́ọ̀ltụ̀
Disable unsafe protocols,Kwụsị ọrụ ọnséèfprotokọ́ọ̀lụ̀
Disables loading of content from unsafe protocols. Safe protocols are http and https.,Nkwụsị ọrụ n'ịbubata ndịna site ọ̀nséèf protokọ́ọ̀lụ̰̀. Séèf protokọ́ọ̀lụ̀ bụ http na https.
Additional safe protocols,Séèfù protokọ́ọ̀lụ̀ ndị agbakwunyere agbakwunye
"A list of protocols to be considered safe in addition to the default, when disable_unsafe_protocols is enabled.","Ndesịta nke protokọ́ọ̀lụ̀ nke a ga-anabata dịka na-enweghị nsogbu na mgbakwunye na difọ́ọ̀ltụ̀, mgbe e kwèèrè dizebụl_ọnséèfù_protokọ́ọ̀lụ̀."
Disable arbitrary URLs,URL abitrarị akwụsịrị ọrụ
Disable the user's ability to type in a URL to Epiphany.,Kwụsị ọrụ ike ojieme ka ịpịnye na URL to Epiphany.
Disable bookmark editing,Ndezi búùkmáàkị akwụsịrị akwụsị
Disable the user's ability to add or edit bookmarks.,Kwụsị ọrụ ike ojieme ka itinye mọọbụ dezie búùkmáàks.
Disable toolbar editing,Kwụsị ọrụ ndezi tulbáà
Disable the user's ability to edit toolbars.,Kwụsị ọrụ ike ojieme ka idezie tulbáàs.
Disable history,Agụgụala akwụsịrị ọrụ
"Disable all historical information by disabling back and forward navigation, not allowing the history dialog and hiding the most used bookmarks list.","Kwụsị ozi agụgụala niile site n'ịkwụsị nchọgharị nke azụ na ihu, na-ekweghị dayalọ́ọ̀gụ̀ agụgụala nakwa izo ndesịta búùkmáàks nke a kara jiri rụọ ọrụ."
Lock in fullscreen mode,Kpọchie na móòdù njupụtainyogo
Locks Epiphany in fullscreen mode.,Na-akpọchi Epiphany na móòdù njupụtainyogo.
Epiphany cannot quit,Igweọrụ Epiphany
Address of the user's home page.,Ngosi ebe nke ihu inyogo nke ojieme.
